ID,BP_SAP_ID,FAMILIA,PRODUCTO,CANTIDAD_EJEMPLARES,CANT_LUNES,CANT_MARTES,CANT_MIERCOLES,CANT_JUEVES,CANT_VIERNES,CANT_SABADOS,CANT_DOMINGOS
335,23693352,OLE,OLE NACIONAL,7,1,1,1,1,1,1,1
336,23685251,CLARIN,CLARIN COMPLETO,1,0,0,0,0,0,0,1
337,23699802,CLARIN,CLARIN COMPLETO,1,0,0,0,0,0,0,1
338,23694643,CLARIN,CLARIN COMPLETO,1,0,0,0,0,0,1,0
340,23694678,CLARIN,CLARIN COMPLETO,3,1,1,1,0,0,0,0
342,23693712,CLARIN,CLARIN COMPLETO,1,0,0,0,0,0,0,1
341,23698381,JARDIN,JARDIN SUSCRIPCIONES,0,0,0,0,0,0,0,0
343,23695986,CLARIN,CLARIN COMPLETO,1,0,0,0,0,0,1,0
339,23698487,OLE,OLE NACIONAL,7,1,1,1,1,1,1,1
345,23698381,EDITORIAL ATLANTIDA DIGITAL,REVISTA PARA TEENS SUSCRIPCIONES,0,0,0,0,0,0,0,0
344,23698381,EDITORIAL TELEVISA,REVISTA NATIONAL GEOGRAPHIC,0,0,0,0,0,0,0,0
346,23686614,CLARIN,CLARIN COMPLETO,1,0,0,0,0,0,0,1
347,23691351,REVISTAS CLARIN,REVISTA Ñ SUSCRIPCIONES,0,0,0,0,0,0,0,0
348,23686851,CLARIN,CLARIN COMPLETO,1,0,0,0,0,0,0,1
349,23685723,CLARIN,CLARIN COMPLETO,2,1,0,0,1,0,0,0
350,23690482,ELLE DIGITAL,ELLE DIGITAL,0,0,0,0,0,0,0,0
352,23689090,CLARIN,CLARIN COMPLETO,1,0,0,0,0,0,0,1
351,23688357,CLARIN,CLARIN COMPLETO,1,0,0,0,0,0,1,0
354,23691351,EDITORIAL TELEVISA,REVISTA VANIDADES,0,0,0,0,0,0,0,0
355,23684329,CLARIN,CLARIN COMPLETO,3,0,0,0,0,1,1,1
353,23689422,CLARIN,CLARIN COMPLETO,1,0,0,0,0,0,0,1
356,23680253,CLARIN,CLARIN COMPLETO,3,1,0,1,0,1,0,0
357,23683828,CLARIN,CLARIN COMPLETO,2,0,0,1,0,0,0,1
358,23681286,CLARIN,CLARIN COMPLETO,3,1,0,1,0,1,0,0
359,23680953,CLARIN,CLARIN COMPLETO,3,1,0,0,0,0,1,1
360,23683836,CLARIN,CLARIN COMPLETO,3,1,0,1,0,0,1,0
361,23682368,CLARIN,CLARIN COMPLETO,3,1,0,0,0,0,1,1
